 # New Simulation
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.228865726E+14  6.178027344E+20 -4.912285156E+20  2.742441406E+20  1.655698272E+36  8.137856470E+19  3.021208325E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.249927282E+14 -3.541064453E+20  3.902705078E+20 -1.054785156E+19  1.697059970E+36  3.315091433E+19  2.947573739E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.270819417E+14  1.883544922E+20  7.428701172E+20 -1.130126953E+20  1.639117126E+36  3.315091433E+19  3.051770568E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.292139914E+14  2.260253906E+20  3.465722656E+20 -2.019160156E+20  1.645919198E+36  9.945682537E+19  3.039158550E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.313087460E+14  5.620498047E+20  4.686259766E+20 -1.356152344E+19  1.492055090E+36  3.315091433E+19  3.352563477E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.334155386E+14  8.588964844E+19  2.154775391E+20 -1.371220703E+20  1.493050586E+36  4.520427984E+19  3.350328146E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.355029031E+14  4.671191406E+20  7.624589844E+20 -9.945117188E+19  1.572962580E+36  7.232853853E+19  3.180119773E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.376378333E+14 -4.852011719E+20  1.506835938E+19  9.342382813E+19  1.735443103E+36  6.630145408E+19  2.882381678E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.396967738E+14  7.368427734E+20 -2.004091797E+20  7.534179687E+18  1.536742550E+36  5.424638947E+19  3.255073142E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
 # Simulation Res
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.417931587E+14 -2.561621094E+20 -4.671191406E+20 -1.054785156E+20  1.509422149E+36  1.717812819E+20  3.313989665E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
